epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.6654,2.21784,4.45409,1.89936,0.00822,0.14716,0.00919,0.00228,1.55249,4.45647,1.57322,2.307e-05,2.307e-05,2.307e-05
2,128.7,2.00351,4.41948,1.7697,0.00885,0.13876,0.01187,0.00371,1.45798,4.43678,1.53225,5.27642e-05,5.27642e-05,5.27642e-05
3,166.013,1.70086,4.30581,1.60941,0.00963,0.14817,0.01457,0.005,1.57224,4.3961,1.55082,8.12402e-05,8.12402e-05,8.12402e-05
4,201.51,1.56821,4.15218,1.4689,0.01063,0.14782,0.03642,0.011,1.58671,4.31483,1.5088,0.000108498,0.000108498,0.000108498
5,237.247,1.50641,3.92062,1.42561,0.0138,0.20734,0.04423,0.01736,1.50159,4.26208,1.44563,0.000134538,0.000134538,0.000134538
6,272.111,1.43761,3.8942,1.37064,0.01603,0.17568,0.04832,0.02181,1.38292,4.20122,1.35802,0.00015936,0.00015936,0.00015936
7,306.807,1.40888,3.68429,1.3285,0.01869,0.24215,0.05411,0.02171,1.31249,4.13937,1.31079,0.000182964,0.000182964,0.000182964
8,341.613,1.41605,3.58626,1.32444,0.03282,0.32037,0.06913,0.03404,1.32061,4.07735,1.32083,0.000205349,0.000205349,0.000205349
9,378.68,1.41069,3.31178,1.33617,0.03907,0.35861,0.11522,0.04649,1.33628,4.01644,1.33895,0.000226517,0.000226517,0.000226517
10,415.16,1.44647,3.26168,1.2964,0.03933,0.33463,0.12399,0.05114,1.37051,3.99575,1.37392,0.000246466,0.000246466,0.000246466
11,453.482,1.52904,3.02153,1.32922,0.03712,0.34695,0.10105,0.05043,1.37873,3.89444,1.36605,0.000265197,0.000265197,0.000265197
12,492.438,1.45414,2.98129,1.29646,0.05384,0.29347,0.12161,0.04816,1.37305,3.78135,1.35949,0.000282711,0.000282711,0.000282711
13,529.053,1.38338,2.88932,1.28403,0.56321,0.1922,0.09364,0.04697,1.42394,3.62986,1.35196,0.000299006,0.000299006,0.000299006
